Title,Author,Release Date,Cover Image URL,Content
Alice's Adventures in Wonderland,Lewis Carroll,"Jun 27, 2008",https://www.gutenberg.org/cache/epub/11/pg11.cover.medium.jpg,[Illustration]          Alice’s Adventures in Wonderland    by Lewis Carroll    THE MILLENNIUM FULCRUM EDITION 3.0    Contents     CHAPTER I.     Down the Rabbit-Hole   CHAPTER II.    The Pool of Tears   CHAPTER III.   A Caucus-Race and a Long Tale   CHAPTER IV.    The Rabbit Sends in a Little Bill   CHAPTER V.     Advice from a Caterpillar   CHAPTER VI.    Pig and Pepper   CHAPTER VII.   A Mad Tea-Party   CHAPTER VIII.  The Queen’s Croquet-Ground   CHAPTER IX.    The Mock Turtle’s Story   CHAPT
Through the Looking-Glass,Lewis Carroll,"Jun 25, 2008",https://www.gutenberg.org/cache/epub/12/pg12.cover.medium.jpg,[Illustration]          THROUGH THE LOOKING-GLASS    And What Alice Found There    By Lewis Carroll    The Millennium Fulcrum Edition 1.7          DRAMATIS PERSONÆ.  (_As arranged before commencement of game._)    WHITE                        RED.   PIECES.        PAWNS.        PAWNS.      PIECES.  Tweedledee.    Daisy.        Daisy.      Humpty Dumpty.  Unicorn.       Haigha.       Messenger.  Carpenter.  Sheep.         Oyster.       Oyster.     Walrus.  W. Queen.      “Lily.”       Tiger-lily.
The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,"Jun 25, 2008",https://www.gutenberg.org/cache/epub/13/pg13.cover.medium.jpg,"THE HUNTING OF THE SNARK                         an Agony in Eight Fits                                     by                            Lewis Carroll                   THE MILLENNIUM FULCRUM EDITION 1.2          Inscribed to a dear Child:  in memory of golden summer hours  and whispers of a summer sea.    Girt with a boyish garb for boyish task,      Eager she wields her spade: yet loves as well  Rest on a friendly knee, intent to ask      The tale he loves to tell.    Rude spirits of the seet"
The 1990 CIA World Factbook,United States. Central Intelligence Agency,"Apr 1, 1991",https://www.gutenberg.org/cache/epub/14/pg14.cover.medium.jpg,"THE WORLD FACTBOOK 1990                            ELECTRONIC VERSION        The World Factbook is produced annually by the Central Intelligence  Agency for the use of United States Government officials, and the style,  format, coverage, and content are designed to meet their specific  requirements. Comments and queries are welcome and may be addressed to:                           Central Intelligence Agency                         Attn: Public Affairs                         Washington, DC 205"
Mo,"-Dick; or, The Whale","May 1, 1991",https://www.gutenberg.org/cache/epub/15/pg15.cover.medium.jpg,"Moby-Dick    or,    THE WHALE.    by Herman Melville      Contents     Etymology   Extracts     CHAPTER I.—Loomings   CHAPTER II.—The Carpet Bag   CHAPTER III.—The Spouter-Inn   CHAPTER IV.—The Counterpane   CHAPTER V.—Breakfast   CHAPTER VI.—The Street   CHAPTER VII.—The Chapel   CHAPTER VIII.—The Pulpit   CHAPTER IX.—The Sermon   CHAPTER X.—A Bosom Friend   CHAPTER XI.—Nightgown   CHAPTER XII.—Biographical   CHAPTER XIII.—Wheelbarrow   CHAPTER XIV.—Nantucket   CHAPTER XV.—Chowder   CHAPTER XVI"
Peter Pan,J. M. Barrie,"Jun 25, 2008",https://www.gutenberg.org/cache/epub/16/pg16.cover.medium.jpg,"Peter Pan    [PETER AND WENDY]    by J. M. Barrie [James Matthew Barrie]    A Millennium Fulcrum Edition produced in 1991 by Duncan Research. Note  that while a copyright was initially claimed for the labor involved in  digitization, that copyright claim is not consistent with current  copyright requirements. This text, which matches the 1911 original  publication, is in the public domain in the US.      Contents     Chapter I. PETER BREAKS THROUGH   Chapter II. THE SHADOW   Chapter III. COME AW"
The Book of Mormon :  an account written,"the hand of Mormon, upon plates…","Jun 25, 2008",https://www.gutenberg.org/cache/epub/17/pg17.cover.medium.jpg,"THE BOOK OF MORMON    An Account Written   BY THE HAND OF MORMON    UPON PLATES TAKEN FROM THE PLATES OF NEPHI      Wherefore, it is an abridgment of the record of the people of Nephi,  and also of the Lamanites—Written to the Lamanites, who are a remnant  of the house of Israel; and also to Jew and Gentile—Written by way of  commandment, and also by the spirit of prophecy and of  revelation—Written and sealed up, and hid up unto the Lord, that they  might not be destroyed—To come forth by the g"
The Federalist Papers,"Alexander Hamilton, John Jay, and James Madison","Aug 1, 1991",https://www.gutenberg.org/cache/epub/18/pg18.cover.medium.jpg,The Federalist Papers    by Alexander Hamilton and John Jay and James Madison      Contents     FEDERALIST No. I. General Introduction   FEDERALIST No. II. Concerning Dangers from Foreign Force and Influence   FEDERALIST No. III. The Same Subject Continued (Concerning Dangers From Foreign Force and Influence)   FEDERALIST No. IV. The Same Subject Continued (Concerning Dangers From Foreign Force and Influence)   FEDERALIST No. V. The Same Subject Continued (Concerning Dangers From Foreign Force a
The Song of Hiawatha,Henry Wadsworth Longfellow,"Jun 1, 2004",https://www.gutenberg.org/cache/epub/19/pg19.cover.medium.jpg,The Song of Hiawatha    Henry W. Longfellow      CONTENTS     Introductory Note   Introduction   I. The Peace-Pipe   II. The Four Winds   III. Hiawatha’s Childhood   IV. Hiawatha and Mudjekeewis   V. Hiawatha’s Fasting   VI. Hiawatha’s Friends   VII. Hiawatha’s Sailing   VIII. Hiawatha’s Fishing   IX. Hiawatha and the Pearl-Feather   X. Hiawatha’s Wooing   XI. Hiawatha’s Wedding-Feast   XII. The Son of the Evening Star   XIII. Blessing the Corn-Fields   XIV. Picture-Writing   XV. Hiawatha’s Lame
Paradise Lost,John Milton,"Oct 1, 1991",https://www.gutenberg.org/cache/epub/20/pg20.cover.medium.jpg,"PARADISE LOST     A  POEM    Written in  TEN BOOKS    by John Milton                Contents                       BOOK I                   BOOK II                   BOOK III                   BOOK IV                   BOOK V                   BOOK VI                   BOOK VII                   BOOK VIII                   BOOK IX                   BOOK X                    BOOK I.    Of Mans First Disobedience, and the Fruit  Of that Forbidden Tree, whose mortal tast  Brought Death into the Wor"
